window_start_step,window_end_step,feature,psi,n_rows
1,51,orig_balance_discrepancy,0.0,454086
1,51,dest_balance_discrepancy,0.0,454086
1,51,orig_drain_ratio,0.0,454086
1,51,dest_amount_ratio,0.0,454086
51,101,orig_balance_discrepancy,0.0247,9224
51,101,dest_balance_discrepancy,0.6413,9224
51,101,orig_drain_ratio,0.074,9224
51,101,dest_amount_ratio,0.0182,9224
101,151,orig_balance_discrepancy,0.0021,198821
101,151,dest_balance_discrepancy,0.2516,198821
101,151,orig_drain_ratio,0.0037,198821
101,151,dest_amount_ratio,0.0024,198821
151,201,orig_balance_discrepancy,0.0013,383197
151,201,dest_balance_discrepancy,0.4198,383197
151,201,orig_drain_ratio,0.0022,383197
151,201,dest_amount_ratio,0.0042,383197
201,251,orig_balance_discrepancy,0.0029,377431
201,251,dest_balance_discrepancy,0.5807,377431
201,251,orig_drain_ratio,0.0011,377431
201,251,dest_amount_ratio,0.0034,377431
251,301,orig_balance_discrepancy,0.0137,357785
251,301,dest_balance_discrepancy,0.7058,357785
251,301,orig_drain_ratio,0.0024,357785
251,301,dest_amount_ratio,0.0042,357785
301,351,orig_balance_discrepancy,0.0147,380409
301,351,dest_balance_discrepancy,0.6537,380409
301,351,orig_drain_ratio,0.0085,380409
301,351,dest_amount_ratio,0.0029,380409
351,401,orig_balance_discrepancy,0.0033,368583
351,401,dest_balance_discrepancy,0.8041,368583
351,401,orig_drain_ratio,0.0022,368583
351,401,dest_amount_ratio,0.0046,368583
401,451,orig_balance_discrepancy,0.0157,96619
401,451,dest_balance_discrepancy,0.7931,96619
401,451,orig_drain_ratio,0.003,96619
401,451,dest_amount_ratio,0.0076,96619
451,501,orig_balance_discrepancy,0.0156,19624
451,501,dest_balance_discrepancy,1.3555,19624
451,501,orig_drain_ratio,0.0247,19624
451,501,dest_amount_ratio,0.0108,19624
501,551,orig_balance_discrepancy,0.0071,42409
501,551,dest_balance_discrepancy,1.2845,42409
501,551,orig_drain_ratio,0.0097,42409
501,551,dest_amount_ratio,0.0077,42409
551,601,orig_balance_discrepancy,0.0106,38671
551,601,dest_balance_discrepancy,1.3094,38671
551,601,orig_drain_ratio,0.0262,38671
551,601,dest_amount_ratio,0.0122,38671
601,651,orig_balance_discrepancy,0.0712,9265
601,651,dest_balance_discrepancy,1.4163,9265
601,651,orig_drain_ratio,0.1029,9265
601,651,dest_amount_ratio,0.0232,9265
651,701,orig_balance_discrepancy,0.004,29068
651,701,dest_balance_discrepancy,1.2048,29068
651,701,orig_drain_ratio,0.0245,29068
651,701,dest_amount_ratio,0.0121,29068
701,751,orig_balance_discrepancy,0.1264,5217
701,751,dest_balance_discrepancy,1.3273,5217
701,751,orig_drain_ratio,0.7813,5217
701,751,dest_amount_ratio,0.2633,5217
